ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD kg CO2e/common unit,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage kgCO2e/(common unit),Common Unit: kgCO2e / _,WWF Storage Factor kgCO2e/kgC,Carbon content kgC/unit,Units: kgC / _,Biogenic CO2 kg - full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity
W/(mK)",Moisture content %,Mass (kg),Length (m) ,Width (m) ,Depth (m) ,Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,CSI MasterFormat,EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL,
bbb000,"Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Vapor In Green 200 / Non-permeable / 0.35 mm / EU",TRUE,FALSE,FALSE,FALSE,2026,,Sheet barrier,Rothoblaas,Vapor in Green 200,,,EU,EU,2024-01-27,0.4,m²,0.42,m²,m²,ft²,0.178,,,0.16,m2,,,,,0.9,200,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb001,"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Clima Control Net 160 / Moisture-variable / 0.5 mm / EU",TRUE,FALSE,FALSE,FALSE,2026,,Sheet barrier,Rothoblaas,Clima Control Net 160,,,EU,EU,2024-01-27,0.9,m²,0.94,m²,m²,ft²,,,,,,,,,,,160,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb002,"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir EVO 160 / 12.3 Perms / 0.5 mm / EU",TRUE,FALSE,FALSE,FALSE,2026,,Sheet barrier,Rothoblaas,Traspir EVO 160,,,EU,EU,2024-01-27,0.6,m²,0.63,m²,m²,ft²,,,,,,,,,,,160,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb003,"Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir Vapor 225 / Non-permeable / 0.8 mm / EU",TRUE,FALSE,FALSE,FALSE,2026,,Sheet barrier,Rothoblaas,Traspir Vapor 225,,,EU,EU,2024-01-27,0.7,m²,0.70,m²,m²,ft²,,,,,,,,,,,225,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb004,"Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir 110 / 101 Perms / 0.4 mm / EU",TRUE,FALSE,FALSE,FALSE,2026,,Sheet barrier,Rothoblaas,Traspir 110,,,EU,EU,2024-01-27,0.3,m²,0.32,m²,m²,ft²,,,,,,,,,,,112,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb005,"Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir EVO UV 210 / 41.7 Perms / 0.3 mm / EU",TRUE,FALSE,FALSE,FALSE,2026,,Sheet barrier,Rothoblaas,Traspir EVO UV 210,,,EU,EU,2024-01-27,1.4,m²,1.37,m²,m²,ft²,,,,,,,,,,,210,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb006,"Ext. Roof Barrier, sheet / Rothoblaas / Traspir Weld EVO 360 / 17.5 Perms / 1.0 mm / EU",TRUE,FALSE,FALSE,FALSE,2026,,Sheet barrier,Rothoblaas,Traspir Weld EVO 360,,,EU,EU,2024-01-27,1.6,m²,1.58,m²,m²,ft²,,,,,,,,,,,360,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,,
bbb007,"Ext. Wall & Roof Barrier, adhesive / Partel / Exoperm Mono SA 250 / Permeable / EU",TRUE,FALSE,FALSE,FALSE,2027,,Adhesive barrier,Partel,Exoperm Mono SA 250,,,EU,EU,2024-01-28,0.8,m²,0.81,m²,m²,ft²,,,,,,,,,,,250,g/m2,,,,,,,,,,,,Barrier,Adhesive,Barrier,Adhesive,,EPDIE-22-84,Product-specific,Partel,Ecoreview,Irish Green Building Council,External,"Chris Foster, EuGeos SRL",EN 15804:2012+A2:2019,EN 15804:2012+A2:2020,,Echochain 3.5.13,Ecoinvent3.6,,,
bbb008,"Ext. Wall & Roof Barrier, liquid applied / Carlisle / Barrithane VP / 11.1 Perms, 40 mils",TRUE,FALSE,FALSE,FALSE,2026,,Liquid applied barrier,Carlisle,Barrithane VP,40 mils,,US,US & CA,2024-01-27,5.2,m²,5.18,m²,m²,ft²,,,,,,,,,,,1.498,m2/kg,,,,,,,,,,,,Barrier,Liquid applied,Barrier,Liquid applied,,EPD10568,Product-specific,Carlisle Coatings & Waterproofing,intertek sustainability,NSF,External,"Jack Geibig, Ecoform",ISO 14044,Water-resistive and air barriers,Traci 2.1,Simapro 9.01,Ecoinvent 3.6,,,
bbb009,"Ext. Wall & Roof Barrier, sheet / Dupont / Tyvek Monolayer 60 / Permeable / EU",TRUE,FALSE,FALSE,FALSE,2026,,Sheet barrier,Dupont,Tyvek Monolayer 60,,,EU,EU,2024-01-20,0.3,m2,0.28,m2,m²,ft²,,,,,,,,,,,0.058,kg/m2,,,,,,,,,,,,HDPE,Barrier,Air Barrier,,,EPD-DUP-20210183-IBC1-EN,Product-specific,DuPont de Nemours,"Hans Peters, IBU",IBU,External,Vito D'Incognito,,EN 15804 + A2,,GaBi 10.5.0.78,GaBi 10.5.0.79,30,,
