SECTION 1 ➜ COMPONENT MATERIALS FOR,,,FOUNDATION - FOOTINGS & SLABS,,,,,,,,,,,,,,,,,,,,,,,,,
"INSTRUCTIONS: (double-click)
The NET kgCO2e EMISSIONS column (Col. I) shows the global warming potential (GWP) of each material based on the information provided. 
You must specify the R-VALUE, THICKNESS, FRAMING SPACING or any other required information in areas highlighted in YELLOW.
Enter ""1"" in the SELECT column (Col. H) to add each material to your building. The net carbon emissions for the selected material will be highlighted in ORANGE. 
Use the percentage values cell (Col. G) if necessary to adjust the material quantity present in the building. 
The carbon footprint of each selection will be added to the section SUBTOTAL (top of Col. M)  for this page, and for summary reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,MATERIAL,QUANTITY,,%,,SELECT,NET kgCO2e EMISSIONS,SELECTED MATERIAL kgCO2e CONTENT,kgCO2e EMISSIONS,kgCO2 STORAGE,kgCO2e SUBTOTAL FOR FOUNDATION FOOTINGS & SLAB,,,,,,,,,,,,,,,,
,,,,,,,,,,,, -   ,,Category,Subcategory,,,,,,,,,,,,,
SUB-SLAB INSULATION,,,R-VALUE:,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS FOAM BOARD,,R-VALUE:,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPS foam board - AVERAGE,0.0,m2,100%,,,0,,0,0,,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,,"EPS foam board / EPS Industry Alliance /  / R 4.6/inch, Type IX, 25 psi (Type 3, 140 kPa)",0.0,m2,100%,,,0,,0,0,Expired 2022,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,,"EPS foam board with graphite / BASF / Neopor / R 4.7/inch, Type IX",0.0,m2,100%,,,0,,0,0,,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,XPS FOAM BOARD,,R-VALUE:,,,,,,,,,,,,,,,,,,,,,,,,,
,,XPS foam board - AVERAGE,0.0,m2,100%,,,0,,0,0,,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,,XPS foam board / Owens Corning / Foamular NGX 250  / R 5/inch,0.0,m2,100%,,,0,,0,0,A1-B1,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,,XPS foam board / Soprema / SOPRA-XPS / R 5.0/inch,0.0,m2,100%,,,0,,0,0,A1-B1,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,,XPS foam board / DuPont / Reduced GWP Grey Styrofoam™ (same as ST-100) / R 5.0/inch,0.0,m2,100%,,,0,,0,0,A1-B1,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,,"(ARCHIVED 2023) XPS foam board / DuPont / Styrofoam (Grey, Reduced GWP) / R 5.6/inch",,,,,,,,,,A1-B1,This is archived and can be deleted (BSUP),FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,MINERAL WOOL BOARD,,R-VALUE:,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mineral wool board - heavy density / NAIMA / R 4.2/inch,0.0,m2,100%,,,0,,0,0,Expired 2023,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
,FOAMGLASS AGGREGATE,,R-VALUE:,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foam glass aggregate - AVERAGE,0.0,m2,100%,,,0,,0,0,,,FOUNDATION - FOOTINGS & SLABS,SUB-SLAB INSULATION,,,,,,,,,,,,,
