"Display Name ACQ wood treatment Synthetic Stucco (Acrylic) [BEAM Avg | US & CA]","EPD Number / Document ID ","EPD ID Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production ","EPD Owner ","Material ACQ wood treatment Acrylic Stucco Textured Finish","Manufacturer / Organization Sto Corp.","Product Name / Description ","Specifications ","EPD Expiry "
"Concrete – 30 MPa, 10% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 30 MPa, 10% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 30 MPa, 20% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 30 MPa, 20% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 30 MPa, 20% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 30 MPa, 20% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 30 MPa, 30% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 30 MPa, 30% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 30 MPa, 30% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 30 MPa, 30% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 30 MPa, 30% FA, GUL / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 30 MPa, 30% FA, GUL","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 35 MPa, Quebec Baseline Average / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 35 MPa, Quebec Baseline Average","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 35 MPa, 10% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 35 MPa, 10% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 35 MPa, 10% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 35 MPa, 10% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 35 MPa, 20% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 35 MPa, 20% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 35 MPa, 20% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 35 MPa, 20% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 35 MPa, 30% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 35 MPa, 30% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 35 MPa, 30% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 35 MPa, 30% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 35 MPa, 30% FA, GUL / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 35 MPa, 30% FA, GUL","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 25 MPa, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 25 MPa, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 25 MPa, 15% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 25 MPa, 15% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 25 MPa, 25% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 25 MPa, 25% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 25 MPa, 35% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 25 MPa, 35% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 25 MPa, 50% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 25 MPa, 50% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 25 MPa, 50% SL, GUL / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 25 MPa, 50% SL, GUL","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 30 MPa, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 30 MPa, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 30 MPa, 15% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 30 MPa, 15% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 30 MPa, 25% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 30 MPa, 25% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 30 MPa, 35% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 30 MPa, 35% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 30 MPa, 50% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 30 MPa, 50% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 30 MPa, 50% SL, GUL / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 30 MPa, 50% SL, GUL","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 35 MPa, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 35 MPa, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 35 MPa, 15% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 35 MPa, 15% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 35 MPa, 25% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 35 MPa, 25% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 35 MPa, 35% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 35 MPa, 35% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 35 MPa, 50% SL, GU / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 35 MPa, 50% SL, GU","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 35 MPa, 50% SL, GUL / Ontario Concrete RMCAO [Industry Avg | CA]","","EPD 351","Concrete Ontario RMCAO","Concrete - 35 MPa, 50% SL, GUL","RMCAO","Can. Ontario Avg.","","2027-07-27"
"Concrete – 25 MPa, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 25 MPa, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 25 MPa, 10% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 25 MPa, 10% FA, GU","Concrete Sask","Can. Sask Avg.","Tabs, Categories, SubCategories","2027-07-27"
"Concrete – 25 MPa, 20% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 25 MPa, 20% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 25 MPa, 30% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 25 MPa, 30% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 25 MPa, 40% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 25 MPa, 40% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 25 MPa, 40% FA, GUL / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 25 MPa, 40% FA, GUL","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 30 MPa, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 30 MPa, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 30 MPa, 10% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 30 MPa, 10% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 30 MPa, 20% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 30 MPa, 20% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 30 MPa, 30% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 30 MPa, 30% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 30 MPa, 40% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 30 MPa, 40% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 30 MPa, 40% FA, GUL / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 30 MPa, 40% FA, GUL","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 35 MPa, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 35 MPa, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 35 MPa, 10% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 35 MPa, 10% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 35 MPa, 20% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 35 MPa, 20% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 35 MPa, 30% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 35 MPa, 30% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 35 MPa, 40% FA, GU / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 35 MPa, 40% FA, GU","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 35 MPa, 40% FA, GUL / Concrete Sask [Industry Avg | CA]","","EPD 350","Concrete Sask","Concrete - 35 MPa, 40% FA, GUL","Concrete Sask","Can. Sask Avg.","","2027-07-27"
"Concrete – 25 MPa, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 25 MPa, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 25 MPa, 10% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 25 MPa, 10% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 25 MPa, 20% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 25 MPa, 20% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 25 MPa, 30% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 25 MPa, 30% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 25 MPa, 40% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 25 MPa, 40% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 25 MPa, 40% FA, GUL / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 25 MPa, 40% FA, GUL","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 30 MPa, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 30 MPa, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 30 MPa, 10% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 30 MPa, 10% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 30 MPa, 20% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 30 MPa, 20% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 30 MPa, 30% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 30 MPa, 30% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 30 MPa, 40% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 30 MPa, 40% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 30 MPa, 40% FA, GUL / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 30 MPa, 40% FA, GUL","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 35 MPa, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 35 MPa, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 35 MPa, 10% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 35 MPa, 10% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 35 MPa, 20% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 35 MPa, 20% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 35 MPa, 30% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 35 MPa, 30% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 35 MPa, 40% FA, GU / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 35 MPa, 40% FA, GU","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 35 MPa, 40% FA, GUL / Concrete Manitoba [Industry Avg | CA]","","EPD 349","Concrete Manitoba","Concrete - 35 MPa, 40% FA, GUL","Concrete Manitoba","Can. Manitoba Avg.","","2027-07-27"
"Concrete – 25 MPa, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 25 MPa, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 25 MPa, 15% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 25 MPa, 15% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 25 MPa, 25% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 25 MPa, 25% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 25 MPa, 40% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 25 MPa, 40% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 25 MPa, 40% SCM, GUL / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 25 MPa, 40% SCM, GUL","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 30 MPa, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 30 MPa, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 30 MPa, 15% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 30 MPa, 15% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 30 MPa, 25% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 30 MPa, 25% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 30 MPa, 40% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 30 MPa, 40% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 30 MPa, 40% SCM, GUL / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 30 MPa, 40% SCM, GUL","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 35 MPa, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 35 MPa, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 35 MPa, 15% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 35 MPa, 15% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 35 MPa, 25% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 35 MPa, 25% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 35 MPa, 40% SCM, GU / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 35 MPa, 40% SCM, GU","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 35 MPa, 40% SCM, GUL / Concrete BC [Industry Avg | CA]","","EPD 348","Concrete BC","Concrete - 35 MPa, 40% SCM, GUL","Concrete BC","Can. BC Avg.","","2027-07-27"
"Concrete – 25 MPa, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 25 MPa, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 25 MPa, 10% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 25 MPa, 10% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 25 MPa, 20% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 25 MPa, 20% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 25 MPa, 30% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 25 MPa, 30% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 25 MPa, 40% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 25 MPa, 40% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 25 MPa, 40% FA, GUL / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 25 MPa, 40% FA, GUL","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 30 MPa, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 30 MPa, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 30 MPa, 10% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 30 MPa, 10% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 30 MPa, 20% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 30 MPa, 20% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 30 MPa, 30% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 30 MPa, 30% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 30 MPa, 40% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 30 MPa, 40% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 30 MPa, 40% FA, GUL / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 30 MPa, 40% FA, GUL","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 35 MPa, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 35 MPa, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 35 MPa, 10% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 35 MPa, 10% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 35 MPa, 20% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 35 MPa, 20% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 35 MPa, 30% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 35 MPa, 30% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 35 MPa, 40% FA, GU / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 35 MPa, 40% FA, GU","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 35 MPa, 40% FA, GUL / Atlantic Concrete Association [Industry Avg | CA]","","EPD 347","Atlantic Concrete Association","Concrete - 35 MPa, 40% FA, GUL","Atlantic Concrete Association","Can. Atlantic Avg.","","2027-07-27"
"Concrete – 25 MPa, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 25 MPa, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 25 MPa, 10% FA, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 25 MPa, 10% FA, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 25 MPa, 20% FA, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 25 MPa, 20% FA, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 25 MPa, 20% FA, GUL / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 25 MPa, 20% FA, GUL","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 30 MPa, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 30 MPa, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 30 MPa, 10% FA, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 30 MPa, 10% FA, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 30 MPa, 20% FA, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 30 MPa, 20% FA, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 30 MPa, 20% FA, GUL / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 30 MPa, 20% FA, GUL","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 35 MPa, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 35 MPa, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 35 MPa, 10% FA, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 35 MPa, 10% FA, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 35 MPa, 20% FA, GU / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 35 MPa, 20% FA, GU","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Concrete – 35 MPa, 20% FA, GUL / Concrete Alberta [Industry Avg | CA]","","EPD 346","Concrete Alberta","Concrete - 35 MPa, 20% FA, GUL","Concrete Alberta","Can. Alberta Avg.","","2027-07-27"
"Cork board insulation / Amorim  / Expanded Insulation Corkboard (ICB) / R3.6-inch, 115 kg/m3 [EU]","","EPD HUB-0281","Amorim Cork Insulation","Cork board insulation","Amorim ","Expanded Insulation Corkboard (ICB)","R3.6-inch, 115 kg/m3","2028"
"Cork flooring / Amorim /  Revestimentos S.A. / Cork floating floor planks [EU]","","EPD-AMO-20150057-IAA1-EN ","","Cork flooring","Amorim"," Revestimentos S.A.","Cork floating floor planks","2021"
"Cork flooring / European Resilient Flooring Manufacturers' Institute [Industry Avg | EU]","","EPD-ERF-20180184-CCI1-EN ","","Cork flooring","European Resilient Flooring Manufacturers' Institute","Includes: Altro, Amorim, Amtico, Artigo, Aspecta, BeauFlor, Dickson, Mflor, Forbo, Gerflor, IVC, Nora, Polyflor, Tarkett, Kahrs, Windmoller","Cork floor tiles","2024"
"Eelgrass accoustic board / Søuld ApS / Søuld Acoustic Mats / Flame retardant, NRC 0.90 [EU]","","MD-21034-EN","Søuld ApS","Eelgrass acoustic board","Søuld ApS","Søuld Acoustic Mats","Flameretardant, NRC 0.90","2026-02-08"
"Grass Insulation / Gramitherm 100 batt / R3.5-inch [EU]","","B-EPD 23.0183.001-01.00.01","Gramitherm Europe SA","Grass Insulation","Gramitherm","Gramitherm 100 batt","R3.5/inch","2028"
"Cross Laminated Timber (CLT) [BEAM Avg | US & CA]","","","","Cross Laminated Timber","Nordic , Element5, Structurlam, Kalesnikoff Lumber Co., Vaagen Timbers","","3-1/2""",""
"Cross Laminated Timber (CLT) / Nordic  / X-Lam / 3-1/2""","","5960-4998","Nordic Structures","Cross Laminated Timber","Nordic ","X-Lam","3-1/2""","2028"
"Cross Laminated Timber (CLT) / Nordic  / Nordic Lam / 3-1/2""","","5915-5885","Nordic Structures","Cross Laminated Timber","Nordic ","Nordic Lam","3-1/2""","2028"
"Cross Laminated Timber (CLT) / Structurlam / CrossLam / 3-1/2""","","EPD124 ","","Cross Laminated Timber","Structurlam","CrossLam","3-1/2""","2025"
"Cross Laminated Timber (CLT) / Element5 / Crosslam CLT / 3-1/2""","","EPD 408","Element5","Cross Laminated Timber","Element5","Crosslam CLT","3-1/2""","2027"
"Cross Laminated Timber (CLT) / Kalesnikoff / 3-1/2""","","EPD295","Kalesnikoff Lumber Co.","Cross Laminated Timber","Kalesnikoff Lumber Co.","Cross Laminated Timber CLT","3-1/2""","2027-03-16"
"Cross Laminated Timber (CLT) / Vaagen / Crosslam CLT / 3-1/2""","","EPD 168","Vaagen Timbers","Cross Laminated Timber","Vaagen Timbers","Crosslam CLT","3-1/2""","2026"
"Mass ply panels (MPP) / Freres Lumber","","EPD160","Freres Lumber Company Inc","Mass Ply Panels","Freres Lumber Company Inc.","Mass Ply Panels","","2025-11-04"
"Veneer Laminated Timber (VLT) / Boise Cascade /  VersaWorks","","EPD 169","Boise Cascade Wood Products, LLC","VLT - VersaWorks","Boise Cascade Wood Products, LLC","Veneer Laminated Timber (VLT); Brand name: VersaWorks™","","2026-03-31"
