"","","","","ID for →","Materials options by VOLUME – m³","ID for →","Material options by SURFACE AREA – m²","ID for →","Material options by Length - m","ID for →","Material options by R-VALUE & AREA - m²•RSI","","Province/State","Country","USER INPUT Building Type","Construction Type","Construction Stage","Purpose of Evaluation","List of countries","Province for Country Selected","","Sheet Name","Text Color","BG Color","Full Sheet Name"
"","","","","a7c43b","Concrete - 2501-3000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","bbb014","Ext. Wall Barrier, adhesive / Soprema / SOPRASOLIN HD (aluminum foil) / Non-permeable / 1.0 mm","STR001","Structural Steel / Rectangular HSS / 8 x 6 x 5/16""/ AISC [Industry Avg | US]","1f3cc3","Fiberglass batt / CertainTeed / Sustainable Insulation / R 3.6-inch","","Indiana","United States","","","","","Bulgaria","Nebraska","","","","",""
"","","","","809f93","Concrete - 2501-3000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","bbb015","Ext. Wall Barrier, adhesive / Soprema / SOPRAVAP'R / Non-permeable / 0.8 mm","STR002","Structural Steel / Square HSS / 3 x 3 x 3/16""/ AISC [Industry Avg | US]","INS008","Fiberglass loose fill / NAIMA /  R 2.2-inch [Industry Avg | N.America]","","Iowa","United States","","","","","Burkina Faso","Nevada","","","","",""
"","","","","c50635","Concrete - 2501-3000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","bbb016","Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier NPL 10 (fire-resistant) / Non-permeable, 1 mm","STR003","Structural Steel / Square HSS / 4 x 4 x 1/4""/ AISC [Industry Avg | US]","INS009","Fiberglass loose fill / Johns Manville / Climate Pro, Attic Protector, JM Spider PLUS (Canada) / R 2.8-inch","","Kansas","United States","","","","","Burundi","New Hampshire","","","","",""
"","","","","900b85","Concrete - 2501-3000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","bbb017","Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier VPL / 20 Perms, 0.64 mm","STR004","Structural Steel / Square HSS / 5 x 5 x 1/4""/ AISC [Industry Avg | US]","f33e5e","Fiberglass loose fill / CertainTeed / InsulSafe, Optima, TruComfort / R 2.6-inch","","Kentucky","United States","","","","","Cambodia","New Jersey","","","","",""
"","","","","s33333","Concrete - 3001-4000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","bbb018","Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier VPL 50RS UV stable / 13 Perms, 0.51 mm","STR005","Structural Steel / Square HSS / 5 x 5 x 1/2""/ AISC [Industry Avg | US]","INS049","Fiberglass loose fill / Owens Corning / AttiCat, ProCat, ProPink / R 3.28-inch","","Louisiana","United States","","","","","Cameroon","New Mexico","","","","",""
"","","","","s33334","Concrete - 3001-4000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","bbb019","Ext. Wall barrier, sheet / GCP / Perm-a-Barrier NPS / Non-permeable, 0.46 mm","STR006","Structural Steel / Square HSS / 8 x 8 x 1/4""/ AISC [Industry Avg | US]","INS004","Fiberglass board / NAIMA / R-3.2-inch  [Industry Avg | N.America]","","Maine","United States","","","","","Cape Verde Islands","New York","","","","",""
"","","","","s33335","Concrete - 3001-4000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","bbb020","Ext. Wall Barrier, liquid applied / Soprema / SOPRASEAL LM 200 S / 0.6 Perm","STR007","Structural Steel / Wide Flange / W150x22 (US W6x15) / AISC [Industry Avg | US]","LEC000","Light expanded clay aggregate (LECA) / Leca Int'l / Leca Arlita 10-20 / R 1.3-inch, 10-20 mm [EU]","","Maryland","United States","","","","","Chad","North Carolina","","","","",""
"","","","","s33336","Concrete - 3001-4000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","bbb021","Ext. Wall Barrier, liquid applied / Soprema / SOPRASEAL LM 204 VP / 10-17 Perms / 0.6 mm","STR008","Structural Steel / Wide Flange / W150x30 (US W6x20) / AISC [Industry Avg | US]","LEC001","Light expanded clay aggregate (LECA) / Leca Int'l / Leca ISO 10-20 / R 1.35-inch, 10-20 mm [EU]","","Massachusetts","United States","","","","","Chile","North Dakota","","","","",""
"","","","","s33337","Concrete - 3001-4000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","bbb022","Ext. Wall Barrier, sheet / Building Product Design / Glidevale Protect TF200 / Permeable","STR009","Structural Steel / Wide Flange / W200x22 (US W8x15) / AISC [Industry Avg | US]","LEC002","Light expanded clay aggregate (LECA) / Leca Int'l / Leca-sora 4-32 / R 1.2-inch, 4-32 mm [EU]","","Michigan","United States","","","","","China","Ohio","","","","",""
"","","","","s33338","Concrete - 4001-5000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","bbb023","Ext. Waterproofing Barrier, adhesive / Carlisle / MiraPLY V  ","STR010","Structural Steel / Wide Flange / W200x27 (US W8x18) / AISC [Industry Avg | US]","103ade","Foam glass aggregate / Glasopor AS / R 1.7-inch, 10-60 mm [EU]","","Minnesota","United States","","","","","Colombia","Oklahoma","","","","",""
"","","","","s33339","Concrete - 4001-5000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","bbb024","Ext. Waterproofing Barrier, liquid applied / Carlisle / MiraSEAL & MiraTITE  ","STR011","Structural Steel / Wide Flange / W200x31 (US W8x21) / AISC [Industry Avg | US]","21cbc7","Foam glass aggregate / Hasopor / R 1.7-inch, 10-60 mm [EU]","","Mississippi","United States","","","","","Congo","Oregon","","","","",""
"","","","","s33340","Concrete - 4001-5000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","bbb025","Int. Wall barrier, sheet / Isover / Vario KM Duplex / Moisture-variable / EU","STR012","Structural Steel / Wide Flange / W200x36 (US W8x24) / AISC [Industry Avg | US]","a94jf2","Foam glass board / R 3.4-inch [BEAM Avg] ","","Missouri","United States","","","","","Costa Rica","Pennsylvania","","","","",""
"","","","","s33341","Concrete - 4001-5000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","bbb026","Int. Wall barrier, sheet / Isover / Vario XTRA / Moisture-variable / EU","STR013","Structural Steel / Wide Flange / W200x42 (US W8x28) / AISC [Industry Avg | US]","40c2ea","Foam glass board / Pittsburgh Corning Europe / FOAMGLAS F / R 2.9-inch / [EU]","","Montana","United States","","","","","Croatia","Rhode Island","","","","",""
"","","","","s33342","Concrete - 4001-5000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","bbb027","Int. Wall & Ceiling Barrier, sheet / Partel / IZOPERM PLUS / Non-permeable / EU","STR014","Structural Steel / Wide Flange / W200x59 (US W8x40) / AISC [Industry Avg | US]","8f8df3","Foam glass board / Pittsburgh Corning Europe / FOAMGLAS S3 / R 3.2-inch / [EU]","","Nebraska","United States","","","","","Cuba","South Carolina","","","","",""
"","","","","fdsj68","Concrete – 25 MPa, Quebec Baseline Average / ABQ [Industry Avg | CA]","bbb028","Int. Wall & Ceiling Barrier, sheet / Partel / VARA PLUS / Moisture-variable / EU","STR015","Structural Steel / Wide Flange / W200x71 (US W8x48) / AISC [Industry Avg | US]","ebf499","Foam glass board / Pittsburgh Corning Europe / FOAMGLAS T3+ / R 4.0-inch / [EU]","","Nevada","United States","","","","","Cyprus","South Dakota","","","","",""
"","","","","aaacc1","Concrete – 25 MPa, 10% SL, GU / ABQ [Industry Avg | CA]","bbb029","Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Clima Control 80 / Moisture-variable / 0.22 mm / EU","STR016","Structural Steel / Wide Flange / W250x18 (US W10x12) / AISC [Industry Avg | US]","bb05fc","Foam glass board / Pittsburgh Corning Europe / FOAMGLAS T4+ / R 3.5-inch / [EU]","","New Hampshire","United States","","","","","Czech Republic","Tennessee","","","","",""
"","","","","aaacc2","Concrete – 25 MPa, 10% FA, GU / ABQ [Industry Avg | CA]","bbb030","Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Vapor In NET 140 / Non-permeable / 0.15 mm / EU","STR017","Structural Steel / Wide Flange / W250x22 (US W10x15) / AISC [Industry Avg | US]","HEMP0X","Hemp Fiber Batt / R 3.6-inch [BEAM Avg] ","","New Jersey","United States","","","","","Denmark","Texas","","","","",""
