"","PARTY WALLS","","","","","","","","","","","",""
"","PROJECT NAME:    Sample Project DOE Prototype
SCENARIO:              Baseline
BEAM VERSION:     V1.1","","FALSE","","","","","","","","","","T05"
"CATEGORY","MATERIAL","","UNITS","","","","","","","","","FOOTNOTE","ID"
"LIGHT STEEL FRAME WALLS","","","","","","","","","","","","","T05|C01"
"LIGHT STEEL FRAMING – 16 GAUGE (2X6)","","","","","","","","","","","","","T05|C01|S01"
"","Liquid Applied Barrier / [BEAM Avg]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S02|LAB00X"
"","Ext. Wall Barrier, liquid applied / Soprema / SOPRASEAL LM 200 S / 0.6 Perm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S02|bbb020"
"","Ext. Waterproofing Barrier, liquid applied / Carlisle / MiraSEAL & MiraTITE  ","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S02|bbb024"
"","Ext. Wall & Roof Barrier, liquid applied / Carlisle / Barrithane VP / 11.1 Perms, 40 mils","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S02|bbb008"
"","Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier NPL 10 (fire-resistant) / Non-permeable, 1 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S02|bbb016"
"","Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier VPL / 20 Perms, 0.64 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S02|bbb017"
"","Ext. Wall Barrier, liquid applied / Soprema / SOPRASEAL LM 204 VP / 10-17 Perms / 0.6 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S02|bbb021"
"","Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier VPL 50RS UV stable / 13 Perms, 0.51 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S02|bbb018"
"SELF-ADHERED BARRIER","","","","","","","","","","","","","T05|C16|S03"
"","Self-Adhered Barrier / [BEAM Avg]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S03|SAB00X"
"","Ext. Waterproofing Barrier, adhesive / Carlisle / MiraPLY V  ","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S03|bbb023"
"","Ext. Wall barrier, adhesive / GCP / Perm-a-Barrier / Non-permeable, 1 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S03|bbb011"
"","Ext. Wall Barrier, adhesive / Soprema / SOPRASEAL STICK 1100 T / Non-permeable / 1.0 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S03|bbb012"
"","Ext. Wall Barrier, adhesive / Soprema / SOPRASOLIN HD (aluminum foil) / Non-permeable / 1.0 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S03|bbb014"
"","Ext. Wall Barrier, adhesive / Soprema / SOPRAVAP'R / Non-permeable / 0.8 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S03|bbb015"
"","Ext. Wall Barrier, adhesive / Soprema / SOPRASEAL STICK VP / 11-17 Perms / 0.6 mm","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S03|bbb013"
"","Ext. Wall & Roof Barrier, adhesive / Partel / Exoperm Mono SA 250 / Permeable / EU","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S03|bbb007"
"CAVITY INSULATION","","","","","","","","","","","","","T05|C05"
"HIGH R-VALUE CAVITY INSULATION","","","","","","","","","","","","","T05|C05|S01"
"","Aerogel blanket / Aspen Aerogels / R9.6-inch","0.0","m²","100%","","FALSE","0","0","0","0","","Expired 2020","T05|C05|S01|199253"
"SPRAY POLYURETHANE FOAM – HIGH DENSITY","","","","","","","","","","","","","T05|C05|S02"
"","Spray polyurethane foam - High Density (HFC gas) / R 6.3-inch / SPFA [Industry Avg | US & CA]","0.0","m²","100%","","FALSE","0","0","0","0","","A1-B1","T05|C05|S02|dc197c"
