"","","","GLOSSARY OF TERMS & ACRONYMS",""
"","MCE","Material Carbon Emissions","In BEAM, MCE refers to the carbon-dioxide equivalent embodied carbon emissions from the Cradle-to-Gate (A1-A3) life cycle stages.",""
"","MCI","Material Carbon Intensity","In BEAM, MCI is equivalent to MCE divided by a common unit basis, such as floor area. This is typically used to compare the emissions intensity of projects, in a similar way to how Energy Use Intensity (EUI) is used to compare the operational energy consumption of buildings by a common unit area.",""
"","MCM","Moderate Carbon Materials","A term Builders for Climate Action uses in their reports as shorthand for relative material carbon intensity performance (see also BPM, BAM, HCM).",""
"","MgO","Magnesium Oxide","",""
"","MPa","Megapascals","A measure of pressure in SI (metric) units of one million Pascals (1 Pa = 1 Newton of force per square metre). In the context of concrete, the MPa value listed is typically the minimum compressive strength achieved after 28 days of curing.",""
"","NAFA","North American Fiberboard Association","Industry association",""
"","NZC","Net Zero Carbon","For embodied carbon, NZC means a parity has been reached between embodied carbon emissions (+) and biogenic carbon storage (-), resulting in a net zero balance of CO2e exchange with the atmosphere. 
For operational carbon, NZC means any carbon emissions from generating offsite energy consumed annually by the building are offset with carbon credits. Typically a NZ operating carbon building design will prioritize reducing energy consumption and produce on-site energy generation to meet all demand. Definitions and criteria will vary from these descriptions between certification systems and sources.",""
"","Off-gassing","VOC evaporation","Volatile organic compounds (VOCs) evaporate from some building materials over time, releasing them into the indoor and/or outdoor environment, potentially causing indoor air quality and climate concerns. Off-gassing also refers to the gases that release from some insulation types which use high GHG blowing-agents that leak from the cells during use.",""
"","Operational Carbon","Operational carbon emissions","Also known as operating carbon, carbon emissions, or simply emissions or carbon, terms that may implicitly exclude embodied carbon. Operation carbon is the mass quantity of CO2e emitted to generate (and sometimes transport) the operational energy consumed in the operation of the building. (see Energy Consumption)",""
"","Phillys database","Phyllis2","A database for the physico-chemical composition test results for various biomaterials in common use, including wood and straw. URL: https://phyllis.nl/ BEAM uses these results in carbon storage calculations. See Carbon Storage definition above for example.",""
"","psi","Pounds per square inch","A measure of pressure in IP (US-imperial) units of one pound-mass per square inch",""
"","PSL","Parallel Strand Lumber","A structural material manufactured from wood components.",""
"","RSI","Thermal Resistance per area in SI units","A measure per unit area of resistance to heat flow through a material or assembly of materials in metric/SI units (m2·K/W or m2·°C/W).",""
"","R-Value","Thermal Resistance in U.S./imperial units","A measure per unit area of resistance to heat flow through a material or assembly of materials in I-P units (ft2·°F·h/BTU) in the U.S. and Canada, where I-P stands for Inches and Pounds. R-Value is often communicated as R-value per inch of material thickness, or R per inch. ",""
"","SL","Slag","A glass-like byproduct of smelting or refining ore. It is used as a Supplementary Cementitious Material (SCM) to replace cement content in concrete production.",""
"","SPF","Spruce, Pine, Fir ","A group of similar tree species predominantly used for softwood lumber products in various regions of North America, particularly in the East of the continent.",""
"","SPFA","Spray Polyurethane Foam Association","Industry association.",""
"","t","tonne(s) or metric Ton(s)","One metric tonne, abbrebiated to 't', is a unit of mass measurement and is equivalent to 1000 kg. This is a distinct value from US Tons, Short Tons, etc.",""
"","UK","United Kingdom","A country abbreviation sometimes used in material listings to define its region(s) of applicability.",""
"","US","United States of America","A country abbreviation sometimes used in material listings to define its region(s) of applicability.",""
"","XPS","Extruded polystyrene","A rigid foam insulation. The two basic types are open-cell and closed-cell. Closed cell XPS has its voids filled with a special gas instead of regular air in order to increase the thermal resistance. ",""
