beam_id,epd_id,ID,Display Name,Stated kgCO2e/unit,GWP units per,GWP/common unit,Common unit,GWP-bio from EPD,Biogenic Storage,Carbon content kgC/unit,Full C value,Storage % Reduction,Density,Density Units,Addnl factor,Addnl factor units,EPD ID,EPD Type,EPD Program/Operator,Service Life (yr)
ins033,EPD-PAV-20190182-ABA4-EN,ins033,Wood fiber board / Pavatex / Pavatherm / R 3.3-inch / 110 kg/m3 [EU],-139.1,m3 @ 110 kg/m3,6.27,m2•RSI,,7.8,,8.66,0.9,110,kg/m3,,,EPD-PAV-20190182-ABA4-EN,product_specific,IBU,
92febd,EPD-PCE-2013256-IBA2-DE,92febd,[Replaced] Foam glass board / Pittsburgh Corning Europe / Foamglas T4 / R3.7/inch,1.32,kg,6.22,m2•RSI,,,,,,115,kg/m3,,,EPD-PCE-2013256-IBA2-DE,product_specific,,
34c7c1,EPD-PCE-20150042-IBA1-DE,34c7c1,"[Replaced] Foam glass board / Pittsburgh Corning Europe / Foamglas W+F, Foamglas T3 / R4/inch",1.26,kg,4.79,m2•RSI,,,,,,100,kg/m3,,,EPD-PCE-20150042-IBA1-DE,product_specific,,
bb05fc,EPD-PCE-20200299-IBB1-EN,bb05fc,Foam glass board / Pittsburgh Corning Europe / FOAMGLAS T4+ / R 3.5-inch / [EU],1.45,kg,6.54,m2•RSI,,,,,,110,kg/m3,4.5,kg/m2 at RSI1,EPD-PCE-20200299-IBB1-EN,product_specific,,
ebf499,EPD-PCE-20200300-IBB1-EN,ebf499,Foam glass board / Pittsburgh Corning Europe / FOAMGLAS T3+ / R 4.0-inch / [EU],1.5,kg,5.13,m2•RSI,,,,,,95,kg/m3,3.42,kg/m2 at RSI1,EPD-PCE-20200300-IBB1-EN,product_specific,,
40c2ea,EPD-PCE-20200301-IBA1-EN,40c2ea,Foam glass board / Pittsburgh Corning Europe / FOAMGLAS F / R 2.9-inch / [EU],1.49,kg,12.29,m2•RSI,,,,,,165,kg/m3,8.25,kg/m2 at RSI1,EPD-PCE-20200301-IBA1-EN,product_specific,,
a94jf2,"EPD-PCE-20200301-IBA1-EN, EPD-PCE-20200302-IBA1-EN, EPD-PCE-20200300-IBB1-EN, EPD-PCE-20200299-IBB1-EN",a94jf2,Foam glass board / R 3.4-inch [BEAM Avg],,kg,8.18,m2•RSI,,,,,,125,kg/m3,5.5075,,"EPD-PCE-20200301-IBA1-EN, EPD-PCE-20200302-IBA1-EN, EPD-PCE-20200300-IBB1-EN, EPD-PCE-20200299-IBB1-EN",beam_average,,
8f8df3,EPD-PCE-20200302-IBA1-EN,8f8df3,Foam glass board / Pittsburgh Corning Europe / FOAMGLAS S3 / R 3.2-inch / [EU],1.5,kg,8.78,m2•RSI,,,,,,130,kg/m3,5.85,kg/m2 at RSI1,EPD-PCE-20200302-IBA1-EN,product_specific,,
3fc60e,EPD-POR-20140214-IBC1-EN,3fc60e,Vacuum Insulated Panel / Porextherm  / Vacupor / Fumed silica core / R 30/inch [EU],42.2,m2 at 25 mm,7.43,m2•RSI,,,,,,181,kg/m3,,,EPD-POR-20140214-IBC1-EN,product_specific,,
www114,EPD-QKE-20220002-IBG1-DE,www114,"Window, double-glazed, PVC-U frame, tilt & turn / [Industry Avg | EU]",79.2,m2,79.2,m2,,,,,,,,,,EPD-QKE-20220002-IBG1-DE,industry_average,IBU,30
