beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL
aaacc96,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc97,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc98,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc99,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
A12361,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
A12362,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
A12368,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc78,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc79,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc80,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc81,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc82,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc83,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc84,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc85,EPD 347,,,,,,,2027-07-27,,,Atlantic Declared Product Concrete members.,,,,,,,336.63,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 347,Product-specific,"B3L 4H9, Canada",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040",for Concrete Version 2.1 (August,and other calculation methodologies are specified in Table 4. Tables 5 through 22 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
