beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL
TRU002,SCS-EPD-07526,,,,,,,2026-12-19,,Wood/steel hybrid floor truss,RedBuilt,Red-W Open-Web,"14"" deep, 1.5 x 4.25"" chords",,US,US & CA,,13.5,m,,,,,,,,,,,,,,,6.7,kg/m,,,,,,,,,,,,Wood/steel,,,,,SCS-EPD-07526,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.2",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
MPS004,SCS-EPD-07578,,,,,,,2027,,Metal Panels - Steel,AEP Span,All roofing & wall products,24 gauge,,US,US & CA,,2160,100 m2,,,,,,,,,,,,,,,7850,kg/m3,,,,,,,,,0.001,,,Steel,,,,,SCS-EPD-07578,Product-specific,AEP Span,Lindita Bushi,SCS Global,External,Industrial Ecology Consultants,ISO 21930,"Insulated metal panels, metal composite panels and metal cladding: roof and wall panels, UL 2018",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7.1,,
CCC000,SCS-EPD-08200,,,,,,,2027,,Composite cladding,Fiberon,Wildwood Cladding,"3/4""",,US,US & CA,,14.7,m2,,,,,,,,,,,,,,,62.47,kg/m2,,,,,,,,,,,,Composite cladding,,,,,SCS-EPD-08200,Product-specific,Fiber Composites LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,,"Cladding product systems, UL 10010-25",TRACI 2.1,OpenLCA 1.10,Ecoinvent 3.8,,
CCC001,SCS-EPD-08391,,,,,,,2027,,Composite cladding,Modern Mill,ACRE Cladding,"3/4""",,US,US & CA,,30.9,m2,,,,,,,,,,,,,,,12.38,kg/m2,,,,,,,,,,,,Composite cladding,,,,,SCS-EPD-08391,Product-specific,Modern Mill,SCS Global,SCS Global,External,Industrial Ecology Consultants,,Sustainability in buildings and civil engineering works,TRACI 2.1,OpenLCA 1.10,Ecoinvent 3.8,,
LVT002,SCS-EPD-08570,,,,,,,2028,,Luxury vinyl tile (LVT),Mohawk,Hot & Heavy Floating,5.0 mm,,US,US & CA,,11.59,m2,,,,,,,,,,,,,,,8.09,kg/m2,,,,,,,,,,,,Luxury vinyl tile,,,,,SCS-EPD-08570,Product-specific,Mohawk,,,,,,,TRACI 2.1,,,,
INS048,SCS-EPD-09348,,,,,,,2028,,Fiberglass batt,Owens Corning,PINK Next Gen Fiberglas,R 3.6/inch,,US & CA,US & CA,,0.659,m2 RSI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fiberglass,,,,,SCS-EPD-09348,Product-specific,Owens Corning,Owens Corning,SCS Global,External,SCS Global,ISO 21930,Building Envelope Thermal Insulation V3.0,TRACI 2.1,SimaPro 9.5.0,Ecoinvent 3.9.1,75,
INS049,SCS-EPD-09349,,,,,,,2028-08-31,,Fiberglass loose fill,Owens Corning,"AttiCat, ProCat, ProPink",R 3.28/inch,,US & CA,US & CA,,0.9,m2 RSI1,,,,,,,,,,,,,,,0.567,kg/m2 at RSI 1,,,3.28,0.04400,,,,,0.044,,,Fiberglass,,,,,SCS-EPD-09349,Product-specific,Owens Corning,Owens Corning,SCS Global,External,SCS Global,"ISO 14025, 14040, 14044, and 21930.",Building Envelope Thermal Insulation V3.0,IPCC 2013 (AR5),SimaPro 9.5.0,Ecoinvent 3.9.1,75,
95e2e7,SCS-EPD-09753,,,,,,,2029,,XPS foam board,Owens Corning,Foamular NGX 250,"R 5.0/inch, 25 psi",,,US & CA,,8.46,m2•RSI,,,,,,,,,,,,,,,24.8,kg/m3,,,5,0.02884424,,,,,,,,XPS Foam,,,,,SCS-EPD-09753,Product-specific,Owens Corning,SCS Global,SCS Global,External,Beth Cassese,,Part B: Building Envelope Thermal Insulation EPD Requirements. Version 3.0. April 2023,TRACI 2.1 v1.08;,SimaPro 9.5.0.0,EcoInvent 3.9.1,,
XPS002,SCS-EPD-09753,,,,,,,2029,,XPS foam board,Owens Corning,Foamular NGX CodeBord/C200,"R 5.0/inch, 20 psi",,,US & CA,,8.51,m2•RSI,,,,,,,,,,,,,,,24.8,kg/m3,,,5,0.02884424,,,,,,,,XPS Foam,,,,,SCS-EPD-09753,Product-specific,Owens Corning,SCS Global,SCS Global,External,Beth Cassese,,Part B: Building Envelope Thermal Insulation EPD Requirements. Version 3.0. April 2023,TRACI 2.1 v1.08;,SimaPro 9.5.0.0,EcoInvent 3.9.1,,
INS013,SEN-01_22,,,,,,,2027,,Hempcrete cast in place,Senini,Bio Beton Jet,R2.7/inch / 230 kg/m3,,EU,EU,,43.5,m2 at 30 cm,,,,,61.8,,,,,,,,,,230,kg/m3,,,2.72,0.053,,,20 x 50 x 30 cm,,,,,Hemp,,,,,SEN-01_22,Product-specific,Senini,EPDItaly,EPDItaly,External,ICMQ,EN ISO 15804/2019,PCR ICMQ-001/15 rev. 3,CML (v4.1),,,,
INS014,SEN-01_22,,,,,,,2027,,Hempcrete dry fill,Senini,Bio Beton Pronto,R2.7-inch / 190 kg/m3,,EU,EU,,33.7,m2 at 30 cm,,,,,60.5,,,,,,,,,,190,kg/m3,,,2.72,0.053,,,20 x 50 x 30 cm,,,,,Hemp,,,,,SEN-01_22,Product-specific,Senini,EPDItaly,EPDItaly,External,ICMQ,EN ISO 15804/2019,PCR ICMQ-001/15 rev. 3,CML (v4.1),,,,
INS015,SEN-01_22,,,,,,,2027,,Hempcrete block,Senini,Blocco Ambiente,20 x 50 x 30 cm,,EU,EU,,71.8,m2 at 30 cm,,,,,65.95,,,,,,,,,,330,kg/m3,,,2.06,0.070,,,,,,,,Hemp,,,,,SEN-01_22,Product-specific,Senini,EPDItaly,EPDItaly,External,ICMQ,EN ISO 15804/2019,PCR ICMQ-001/15 rev. 3,CML (v4.1),,,,
INS005,SmartEPD-2023-003-0010-01,,,,,,,2028-07-14,,Fiberglass batt,NAIMA,"Includes : CertainTeed, Inc. Saint-Gobin, Johns Manville, Knauf Insulation North America, Owens Corning",R 4.4/inch,,US,US & CA,,1.01,m2•RSI,,,,,,,,,,,,,,,12.01,kg/m3,0.033,m,4.37,0.0330026,,,,,,,,Fiberglass,,,,,SmartEPD-2023-003-0010-01,Industry average,NAIMA,"Sean Daley, Sphera",Smart EPD,External,Lindita Bushi,,UL Part B: Building Envelope Thermal Insulation Products v.2,,are: GaBi v.,GaBi Professional Database v. 20,75,
INS008,SmartEPD-2023-003-0010-01,,,,,,,2028-07-14,,Fiberglass loose fill,NAIMA,"Includes : CertainTeed, Inc. Saint-Gobin, Johns Manville, Knauf Insulation North America, Owens Corning",R 2.2/inch,,US,US & CA,,0.988,m2•RSI,,,,,,,,,,,,,,,6.89,kg/m3,0.067,m,2.15,0.0670796,,,,,,,,Fiberglass,,,,,SmartEPD-2023-003-0010-01,Industry average,NAIMA,"Sean Daley, Sphera",Smart EPD,External,Lindita Bushi,,UL Part B: Building Envelope Thermal Insulation Products v.2,,are: GaBi v.,GaBi Professional Database v. 20,75,
